Course,Professor,Day,Hour,Hall
Technical English 1,Dr. Emily Wong,1,1,210
Technical English 1,Dr. Emily Wong,1,2,210
Intro. to Cyber Security,Dr. Alicia Chen,1,3,101
Physics,Dr. Sarah Martinez,2,1,101
Physics,Dr. Sarah Martinez,2,2,101
IT Essentials,Dr. Marcus Johnson,2,3,209
IT Essentials,Dr. Marcus Johnson,2,4,209
Mathematics 1,Dr. Robert Taylor,3,1,209
Mathematics 1,Dr. Robert Taylor,3,2,209
Programming Essentials in Python,Dr. David Lee,4,1,209
Programming Essentials in Python,Dr. David Lee,4,2,209
